Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_11,Install base slab to +12 [Phase_11],3.535714,11.650000,3,9,0.002933,0.001303,0.003209,0.000009,-0.000571,0.000571,-0.002933,0.001303,-17.038817,-17.038817,-0.762405,0.019638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.428571,11.650000,3,9,0.002983,0.001303,0.003255,0.000009,-0.000567,0.000567,-0.002983,0.001303,-16.926823,-16.926823,-0.830338,0.021407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.285714,11.650000,3,10,0.002602,0.001314,0.002915,0.000007,-0.000598,0.000598,-0.002602,0.001314,-17.602116,-17.602116,-0.352292,0.009033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.178571,11.650000,3,10,0.002647,0.001312,0.002955,0.000007,-0.000595,0.000595,-0.002647,0.001312,-17.542803,-17.542803,-0.404097,0.010367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.071429,11.650000,3,10,0.002693,0.001310,0.002995,0.000007,-0.000591,0.000591,-0.002693,0.001310,-17.480598,-17.480598,-0.457964,0.011754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.964286,11.650000,3,10,0.002740,0.001308,0.003036,0.000008,-0.000588,0.000588,-0.002740,0.001308,-17.406204,-17.406204,-0.514285,0.013208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.857143,11.650000,3,10,0.002787,0.001306,0.003078,0.000008,-0.000584,0.000584,-0.002787,0.001306,-17.328735,-17.328735,-0.572765,0.014719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.714286,11.650000,3,11,0.002426,0.001327,0.002765,0.000006,-0.000611,0.000611,-0.002426,0.001327,-17.776904,-17.776904,-0.166869,0.004273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.607143,11.650000,3,11,0.002469,0.001324,0.002802,0.000006,-0.000608,0.000608,-0.002469,0.001324,-17.740146,-17.740146,-0.210072,0.005381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.500000,11.650000,3,11,0.002513,0.001320,0.002839,0.000006,-0.000605,0.000605,-0.002513,0.001320,-17.700787,-17.700787,-0.255327,0.006542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.392857,11.650000,3,11,0.002557,0.001317,0.002877,0.000007,-0.000602,0.000602,-0.002557,0.001317,-17.652979,-17.652979,-0.302725,0.007759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.285714,11.650000,3,11,0.002602,0.001314,0.002915,0.000007,-0.000598,0.000598,-0.002602,0.001314,-17.602116,-17.602116,-0.352292,0.009033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.142857,11.650000,3,12,0.002257,0.001343,0.002627,0.000005,-0.000621,0.000621,-0.002257,0.001343,-17.878190,-17.878190,-0.014182,0.000363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.035714,11.650000,3,12,0.002299,0.001339,0.002660,0.000005,-0.000619,0.000619,-0.002299,0.001339,-17.857856,-17.857856,-0.049438,0.001265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.928571,11.650000,3,12,0.002341,0.001335,0.002695,0.000006,-0.000616,0.000616,-0.002341,0.001335,-17.835896,-17.835896,-0.086565,0.002216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.821429,11.650000,3,12,0.002383,0.001331,0.002730,0.000006,-0.000614,0.000614,-0.002383,0.001331,-17.807396,-17.807396,-0.125721,0.003218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],4.714286,11.650000,3,12,0.002426,0.001327,0.002765,0.000006,-0.000611,0.000611,-0.002426,0.001327,-17.776904,-17.776904,-0.166869,0.004273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.571429,11.650000,3,13,0.002094,0.001362,0.002498,0.000004,-0.000630,0.000630,-0.002094,0.001362,-17.926560,-17.926560,0.108324,0.002770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.464286,11.650000,3,13,0.002135,0.001357,0.002529,0.000005,-0.000628,0.000628,-0.002135,0.001357,-17.917923,-17.917923,0.080353,0.002055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.357143,11.650000,3,13,0.002175,0.001352,0.002561,0.000005,-0.000626,0.000626,-0.002175,0.001352,-17.908283,-17.908283,0.050696,0.001297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.250000,11.650000,3,13,0.002216,0.001348,0.002594,0.000005,-0.000624,0.000624,-0.002216,0.001348,-17.893850,-17.893850,0.019157,0.000490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.142857,11.650000,3,13,0.002257,0.001343,0.002627,0.000005,-0.000621,0.000621,-0.002257,0.001343,-17.878190,-17.878190,-0.014182,0.000363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.000000,11.650000,3,14,0.001937,0.001381,0.002378,0.000004,-0.000638,0.000638,-0.001937,0.001381,-17.938402,-17.938402,0.203403,0.005202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.892857,11.650000,3,14,0.001976,0.001376,0.002408,0.000004,-0.000636,0.000636,-0.001976,0.001376,-17.937733,-17.937733,0.182025,0.004655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.785714,11.650000,3,14,0.002015,0.001371,0.002437,0.000004,-0.000634,0.000634,-0.002015,0.001371,-17.936470,-17.936470,0.159137,0.004070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.678571,11.650000,3,14,0.002054,0.001366,0.002467,0.000004,-0.000632,0.000632,-0.002054,0.001366,-17.931886,-17.931886,0.134537,0.003441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],5.571429,11.650000,3,14,0.002094,0.001362,0.002498,0.000004,-0.000630,0.000630,-0.002094,0.001362,-17.926560,-17.926560,0.108324,0.002770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.428571,11.650000,3,15,0.001783,0.001399,0.002267,0.000003,-0.000644,0.000644,-0.001783,0.001399,-17.926288,-17.926288,0.273876,0.007004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.321429,11.650000,3,15,0.001821,0.001395,0.002294,0.000003,-0.000642,0.000642,-0.001821,0.001395,-17.930737,-17.930737,0.258387,0.006608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.214286,11.650000,3,15,0.001859,0.001390,0.002322,0.000003,-0.000641,0.000641,-0.001859,0.001390,-17.934872,-17.934872,0.241558,0.006177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.107143,11.650000,3,15,0.001898,0.001385,0.002350,0.000004,-0.000639,0.000639,-0.001898,0.001385,-17.936846,-17.936846,0.223198,0.005708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.000000,11.650000,3,15,0.001937,0.001381,0.002378,0.000004,-0.000638,0.000638,-0.001937,0.001381,-17.938402,-17.938402,0.203403,0.005202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.857143,11.650000,3,16,0.001634,0.001417,0.002162,0.000003,-0.000649,0.000649,-0.001634,0.001417,-17.899541,-17.899541,0.322530,0.008250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.750000,11.650000,3,16,0.001671,0.001412,0.002188,0.000003,-0.000648,0.000648,-0.001671,0.001412,-17.907057,-17.907057,0.312246,0.007987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.642857,11.650000,3,16,0.001708,0.001408,0.002214,0.000003,-0.000647,0.000647,-0.001708,0.001408,-17.914391,-17.914391,0.300777,0.007693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.535714,11.650000,3,16,0.001746,0.001404,0.002240,0.000003,-0.000645,0.000645,-0.001746,0.001404,-17.920435,-17.920435,0.287960,0.007365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.428571,11.650000,3,16,0.001783,0.001399,0.002267,0.000003,-0.000644,0.000644,-0.001783,0.001399,-17.926288,-17.926288,0.273876,0.007004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.285714,11.650000,3,17,0.001487,0.001432,0.002065,0.000002,-0.000653,0.000653,-0.001487,0.001432,-17.865044,-17.865044,0.352058,0.009008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.178571,11.650000,3,17,0.001524,0.001429,0.002089,0.000002,-0.000652,0.000652,-0.001524,0.001429,-17.874117,-17.874117,0.346318,0.008861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.071429,11.650000,3,17,0.001560,0.001425,0.002113,0.000002,-0.000651,0.000651,-0.001560,0.001425,-17.882925,-17.882925,0.339537,0.008687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.964286,11.650000,3,17,0.001597,0.001421,0.002137,0.000003,-0.000650,0.000650,-0.001597,0.001421,-17.891373,-17.891373,0.331594,0.008483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],6.857143,11.650000,3,17,0.001634,0.001417,0.002162,0.000003,-0.000649,0.000649,-0.001634,0.001417,-17.899541,-17.899541,0.322530,0.008250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.714286,11.650000,3,18,0.001344,0.001446,0.001974,0.000002,-0.000657,0.000657,-0.001344,0.001446,-17.827590,-17.827590,0.364980,0.009342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.607143,11.650000,3,18,0.001380,0.001443,0.001996,0.000002,-0.000656,0.000656,-0.001380,0.001443,-17.837075,-17.837075,0.363165,0.009295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.500000,11.650000,3,18,0.001415,0.001440,0.002019,0.000002,-0.000655,0.000655,-0.001415,0.001440,-17.846461,-17.846461,0.360457,0.009225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.392857,11.650000,3,18,0.001451,0.001436,0.002042,0.000002,-0.000654,0.000654,-0.001451,0.001436,-17.855819,-17.855819,0.356740,0.009129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.285714,11.650000,3,18,0.001487,0.001432,0.002065,0.000002,-0.000653,0.000653,-0.001487,0.001432,-17.865044,-17.865044,0.352058,0.009008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],8.142857,11.650000,3,19,0.001203,0.001458,0.001891,0.000002,-0.000660,0.000660,-0.001203,0.001458,-17.790347,-17.790347,0.363627,0.009310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],8.035714,11.650000,3,19,0.001238,0.001456,0.001911,0.000002,-0.000659,0.000659,-0.001238,0.001456,-17.799556,-17.799556,0.365174,0.009349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.928571,11.650000,3,19,0.001273,0.001453,0.001932,0.000002,-0.000658,0.000658,-0.001273,0.001453,-17.808772,-17.808772,0.365961,0.009368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.821429,11.650000,3,19,0.001308,0.001450,0.001953,0.000002,-0.000658,0.000658,-0.001308,0.001450,-17.818180,-17.818180,0.365882,0.009366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],7.714286,11.650000,3,19,0.001344,0.001446,0.001974,0.000002,-0.000657,0.000657,-0.001344,0.001446,-17.827590,-17.827590,0.364980,0.009342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],8.571429,11.650000,3,20,0.001064,0.001469,0.001814,0.000001,-0.000662,0.000662,-0.001064,0.001469,-17.755385,-17.755385,0.350126,0.008967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],8.464286,11.650000,3,20,0.001099,0.001466,0.001832,0.000001,-0.000662,0.000662,-0.001099,0.001466,-17.763883,-17.763883,0.354524,0.009079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],8.357143,11.650000,3,20,0.001133,0.001464,0.001851,0.000001,-0.000661,0.000661,-0.001133,0.001464,-17.772460,-17.772460,0.358279,0.009174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],8.250000,11.650000,3,20,0.001168,0.001461,0.001871,0.000001,-0.000660,0.000660,-0.001168,0.001461,-17.781360,-17.781360,0.361302,0.009251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],8.142857,11.650000,3,20,0.001203,0.001458,0.001891,0.000002,-0.000660,0.000660,-0.001203,0.001458,-17.790347,-17.790347,0.363627,0.009310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],9.000000,11.650000,3,21,0.000927,0.001477,0.001744,0.000001,-0.000664,0.000664,-0.000927,0.001477,-17.723937,-17.723937,0.326402,0.008361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
