Phase,PhaseIdent,X(m),Y(m),MaterialId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_41,Construct silo slab [Phase_41],-19.000000,87.772427,1,0.007007,0.002612,0.007478,-0.000072,-0.000034,0.000080,-0.002612,0.007007,0.372112,0.193161,-30.191562,0.000000,2.860235,0.041201
Phase_41,Construct silo slab [Phase_41],-19.000000,87.249891,1,0.007159,0.001920,0.007411,-0.000071,-0.000034,0.000078,-0.001920,0.007159,0.478358,0.212675,-31.317311,0.000000,2.956846,0.022089
Phase_41,Construct silo slab [Phase_41],-19.000000,87.249891,1,0.007159,0.001920,0.007411,-0.000071,-0.000034,0.000078,-0.001920,0.007159,0.478358,0.210772,-31.325299,0.000000,3.002846,0.022424
Phase_41,Construct silo slab [Phase_41],-19.000000,86.721576,1,0.007286,0.001252,0.007393,-0.000069,-0.000034,0.000076,-0.001252,0.007286,0.591973,0.217551,-32.385358,0.000000,3.120976,0.002837
Phase_41,Construct silo slab [Phase_41],-19.000000,86.193262,1,0.007248,0.000526,0.007267,-0.000067,-0.000034,0.000075,-0.000526,0.007248,0.706318,0.213573,-33.392083,0.000000,3.229935,-0.018767
Phase_41,Construct silo slab [Phase_41],-19.000000,85.664947,1,0.007025,-0.000278,0.007031,-0.000065,-0.000034,0.000073,0.000278,0.007025,0.815891,0.199357,-34.347528,0.000000,3.315125,-0.035924
Phase_41,Construct silo slab [Phase_41],-19.000000,85.136632,1,0.006607,-0.001156,0.006707,-0.000063,-0.000034,0.000071,0.001156,0.006607,0.915272,0.175424,-35.253747,0.000000,3.372230,-0.048271
Phase_41,Construct silo slab [Phase_41],-19.000000,85.136632,1,0.006607,-0.001156,0.006707,-0.000063,-0.000034,0.000071,0.001156,0.006607,0.915272,0.176487,-35.256067,0.000000,3.369894,-0.048237
Phase_41,Construct silo slab [Phase_41],-19.000000,84.602474,1,0.006014,-0.002075,0.006362,-0.000061,-0.000034,0.000070,0.002075,0.006014,1.002199,0.148269,-36.159205,0.000000,3.428215,-0.057270
Phase_41,Construct silo slab [Phase_41],-19.000000,84.068316,1,0.005331,-0.002940,0.006088,-0.000059,-0.000034,0.000068,0.002940,0.005331,1.072825,0.115330,-37.019053,0.000000,3.507374,-0.065951
Phase_41,Construct silo slab [Phase_41],-19.000000,83.534158,1,0.004612,-0.003698,0.005912,-0.000057,-0.000034,0.000066,0.003698,0.004612,1.124592,0.077646,-37.833777,0.000000,3.597193,-0.075034
Phase_41,Construct silo slab [Phase_41],-19.000000,83.000000,1,0.003924,-0.004325,0.005840,-0.000055,-0.000034,0.000065,0.004325,0.003924,1.154933,0.035197,-38.601538,0.000000,3.698130,-0.077492
Phase_41,Construct silo slab [Phase_41],-19.000000,83.000000,1,0.003924,-0.004325,0.005840,-0.000055,-0.000034,0.000065,0.004325,0.003924,1.154933,0.037003,-38.595741,0.000000,3.698376,-0.077497
Phase_41,Construct silo slab [Phase_41],-19.000000,82.458333,1,0.003315,-0.004825,0.005854,-0.000053,-0.000034,0.000063,0.004825,0.003315,1.163508,-0.004266,-39.325683,0.000000,3.784375,-0.070588
Phase_41,Construct silo slab [Phase_41],-19.000000,81.916667,1,0.002819,-0.005198,0.005913,-0.000051,-0.000034,0.000062,0.005198,0.002819,1.151432,-0.039341,-39.998369,0.000000,3.883873,-0.058380
