Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.639286,7,65,-0.002679,-0.014335,0.014584,-0.002679,-0.014335,0.014584,-0.014335,0.002679,-0.000000,0.000000,-303.288186,-90.986456
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.778571,7,65,-0.002718,-0.014336,0.014592,-0.002718,-0.014336,0.014592,-0.014336,0.002718,-0.000000,0.000000,-298.774286,-89.632286
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.917857,7,65,-0.002757,-0.014337,0.014600,-0.002757,-0.014337,0.014600,-0.014337,0.002757,-0.000000,0.000000,-294.260386,-88.278116
Phase_2,Install Cofferdam [Phase_2],-23.375000,97.057143,7,65,-0.002796,-0.014338,0.014608,-0.002796,-0.014338,0.014608,-0.014338,0.002796,-0.000000,0.000000,-289.749668,-86.924900
Phase_2,Install Cofferdam [Phase_2],-23.375000,97.057143,7,66,-0.002796,-0.014338,0.014608,-0.002796,-0.014338,0.014608,-0.014338,0.002796,-0.000000,0.000000,-289.747109,-86.924133
Phase_2,Install Cofferdam [Phase_2],-23.375000,97.242857,7,66,-0.002848,-0.014339,0.014619,-0.002848,-0.014339,0.014619,-0.014339,0.002848,-0.000000,0.000000,-283.732819,-85.119846
Phase_2,Install Cofferdam [Phase_2],-23.375000,97.428571,7,66,-0.002900,-0.014341,0.014631,-0.002900,-0.014341,0.014631,-0.014341,0.002900,-0.000000,0.000000,-277.714286,-83.314286
Phase_2,Install Cofferdam [Phase_2],-23.375000,97.614286,7,66,-0.002952,-0.014342,0.014642,-0.002952,-0.014342,0.014642,-0.014342,0.002952,-0.000000,0.000000,-271.695752,-81.508726
Phase_2,Install Cofferdam [Phase_2],-23.375000,97.800000,7,66,-0.003004,-0.014343,0.014654,-0.003004,-0.014343,0.014654,-0.014343,0.003004,-0.000000,0.000000,-265.681462,-79.704439
Phase_2,Install Cofferdam [Phase_2],-34.660000,96.000000,7,67,-0.001277,-0.026779,0.026810,-0.001277,-0.026779,0.026810,-0.026779,0.001277,-0.000000,0.000000,-323.998111,-97.199433
Phase_2,Install Cofferdam [Phase_2],-34.660000,96.239888,7,67,-0.001301,-0.026781,0.026813,-0.001301,-0.026781,0.026813,-0.026781,0.001301,-0.000000,0.000000,-316.229437,-94.868831
Phase_2,Install Cofferdam [Phase_2],-34.660000,96.479775,7,67,-0.001325,-0.026783,0.026816,-0.001325,-0.026783,0.026816,-0.026783,0.001325,-0.000000,0.000000,-308.455282,-92.536585
Phase_2,Install Cofferdam [Phase_2],-34.660000,96.719663,7,67,-0.001349,-0.026785,0.026819,-0.001349,-0.026785,0.026819,-0.026785,0.001349,-0.000000,0.000000,-300.681127,-90.204338
Phase_2,Install Cofferdam [Phase_2],-34.660000,96.959550,7,67,-0.001374,-0.026786,0.026821,-0.001374,-0.026786,0.026821,-0.026786,0.001374,-0.000000,0.000000,-292.912454,-87.873736
Phase_2,Install Cofferdam [Phase_2],-34.660000,96.959550,7,68,-0.001374,-0.026786,0.026821,-0.001374,-0.026786,0.026821,-0.026786,0.001374,-0.000000,0.000000,-292.908910,-87.872673
Phase_2,Install Cofferdam [Phase_2],-34.660000,97.169663,7,68,-0.001395,-0.026788,0.026824,-0.001395,-0.026788,0.026824,-0.026788,0.001395,-0.000000,0.000000,-286.104497,-85.831349
Phase_2,Install Cofferdam [Phase_2],-34.660000,97.379775,7,68,-0.001416,-0.026789,0.026826,-0.001416,-0.026789,0.026826,-0.026789,0.001416,-0.000000,0.000000,-279.295282,-83.788585
Phase_2,Install Cofferdam [Phase_2],-34.660000,97.589888,7,68,-0.001437,-0.026790,0.026829,-0.001437,-0.026790,0.026829,-0.026790,0.001437,-0.000000,0.000000,-272.486068,-81.745820
Phase_2,Install Cofferdam [Phase_2],-34.660000,97.800000,7,68,-0.001459,-0.026792,0.026831,-0.001459,-0.026792,0.026831,-0.026792,0.001459,-0.000000,0.000000,-265.681654,-79.704496
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.000000,7,84,-0.002500,-0.014331,0.014547,-0.002500,-0.014331,0.014547,-0.014331,0.002500,-0.000000,0.000000,-323.999016,-97.199705
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.125000,7,84,-0.002535,-0.014332,0.014554,-0.002535,-0.014332,0.014554,-0.014332,0.002535,-0.000000,0.000000,-319.950936,-95.985281
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.250000,7,84,-0.002570,-0.014333,0.014561,-0.002570,-0.014333,0.014561,-0.014333,0.002570,-0.000000,0.000000,-315.900000,-94.770000
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.375000,7,84,-0.002605,-0.014334,0.014568,-0.002605,-0.014334,0.014568,-0.014334,0.002605,-0.000000,0.000000,-311.849064,-93.554719
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.500000,7,84,-0.002640,-0.014334,0.014576,-0.002640,-0.014334,0.014576,-0.014334,0.002640,-0.000000,0.000000,-307.800984,-92.340295
