Phase,PhaseIdent,X(m),Y(m),MaterialId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.237246,1,-0.033396,0.012473,0.035649,0.002251,0.000711,0.002361,-0.012473,-0.033396,-633.082179,61.733172,-544.765817,0.000000,0.000000,4.790956
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.155869,1,-0.033465,0.012548,0.035740,0.002217,0.000710,0.002328,-0.012548,-0.033465,-628.042532,62.115815,-545.179243,0.000000,0.000000,4.960937
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.074492,1,-0.033528,0.012631,0.035828,0.002184,0.000709,0.002296,-0.012631,-0.033528,-622.971284,62.552457,-545.592362,0.000000,0.000000,2.888680
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,95.074492,1,-0.033528,0.012631,0.035828,0.002184,0.000709,0.002296,-0.012631,-0.033528,-622.971284,62.491748,-545.592548,0.000000,0.000000,2.888680
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,94.987367,1,-0.033383,0.012714,0.035722,0.002149,0.000708,0.002263,-0.012714,-0.033383,-617.519561,62.672673,-546.034713,0.000000,0.000000,1.677617
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,94.900243,1,-0.033230,0.012795,0.035608,0.002114,0.000708,0.002229,-0.012795,-0.033230,-612.052626,62.783514,-546.477280,0.000000,0.000000,0.852147
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,94.813118,1,-0.033082,0.012875,0.035499,0.002079,0.000707,0.002196,-0.012875,-0.033082,-606.579017,62.825595,-546.919939,0.000000,0.000000,0.099032
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,94.725993,1,-0.032934,0.012960,0.035392,0.002045,0.000706,0.002164,-0.012960,-0.032934,-601.107235,62.800241,-547.362381,0.000000,0.000000,0.794504
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,94.725993,1,-0.032934,0.012960,0.035392,0.002045,0.000706,0.002164,-0.012960,-0.032934,-601.107235,62.770157,-547.362916,0.000000,0.000000,0.794504
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,94.374430,1,-0.032286,0.013337,0.034932,0.001912,0.000702,0.002036,-0.013337,-0.032286,-578.853014,64.214004,-549.147731,0.000000,0.000000,6.714669
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,94.022866,1,-0.031566,0.013713,0.034416,0.001784,0.000699,0.001916,-0.013713,-0.031566,-555.728482,67.566880,-550.933469,0.000000,0.000000,12.867560
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,93.671303,1,-0.030769,0.014066,0.033832,0.001662,0.000695,0.001802,-0.014066,-0.030769,-531.134130,72.626040,-552.718937,0.000000,0.000000,16.422563
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,93.319740,1,-0.029892,0.014409,0.033183,0.001547,0.000692,0.001695,-0.014409,-0.029892,-504.491693,79.188738,-554.502943,0.000000,0.000000,15.967759
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,93.319740,1,-0.029892,0.014409,0.033183,0.001547,0.000692,0.001695,-0.014409,-0.029892,-504.491693,78.450385,-555.449305,0.000000,0.000000,12.941572
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,92.841633,1,-0.028598,0.014545,0.032085,0.001399,0.000687,0.001558,-0.014545,-0.028598,-464.897307,88.212404,-556.243471,0.000000,0.000000,26.503145
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,92.363526,1,-0.027555,0.014590,0.031179,0.001261,0.000682,0.001434,-0.014590,-0.027555,-419.204212,103.823442,-559.558355,0.000000,0.000000,38.948127
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,91.885418,1,-0.026490,0.014388,0.030146,0.001134,0.000677,0.001321,-0.014388,-0.026490,-364.681363,125.182251,-567.347730,0.000000,-18.718931,50.549618
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,91.407311,1,-0.025752,0.014267,0.029440,0.001016,0.000673,0.001219,-0.014267,-0.025752,-298.609579,152.187585,-581.565364,0.000000,-15.845330,61.070610
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,91.407311,1,-0.025752,0.014267,0.029440,0.001016,0.000673,0.001219,-0.014267,-0.025752,-298.609579,162.840628,-581.120736,0.000000,-27.715025,103.156240
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,90.890492,1,-0.010042,0.002869,0.010444,0.000900,0.000668,0.001121,-0.002869,-0.010042,-210.400591,176.737386,-591.023354,0.000000,-11.936281,18.507124
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,90.373672,1,-0.008688,0.002748,0.009112,0.000795,0.000663,0.001035,-0.002748,-0.008688,-117.586259,181.298587,-598.434850,0.000000,-5.338750,-3.933568
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,89.856853,1,-0.007455,0.001659,0.007638,0.000699,0.000658,0.000960,-0.001659,-0.007455,-24.264760,178.281994,-604.061322,0.000000,-5.027800,-10.820790
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,89.340033,1,-0.006125,0.000492,0.006145,0.000614,0.000653,0.000896,-0.000492,-0.006125,65.742747,169.445368,-608.608866,0.000000,-6.111432,-22.933571
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,89.340033,1,-0.006125,0.000492,0.006145,0.000614,0.000653,0.000896,-0.000492,-0.006125,65.742747,169.610414,-609.563160,0.000000,-7.301511,-25.245500
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,88.817498,1,-0.005019,-0.000165,0.005022,0.000537,0.000648,0.000842,0.000165,-0.005019,150.500469,154.363985,-615.334416,0.000000,-7.026714,-32.164951
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,88.294962,1,-0.004192,-0.000872,0.004282,0.000469,0.000643,0.000796,0.000872,-0.004192,226.523815,136.025706,-622.175733,0.000000,-8.829718,-37.889142
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,87.772427,1,-0.003442,-0.001535,0.003769,0.000410,0.000638,0.000758,0.001535,-0.003442,292.142259,114.541907,-630.177395,0.000000,-11.468410,-44.205705
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,87.249891,1,-0.002789,-0.002205,0.003555,0.000358,0.000633,0.000727,0.002205,-0.002789,345.673324,89.858920,-639.429689,0.000000,-14.020482,-45.925333
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,87.249891,1,-0.002789,-0.002205,0.003555,0.000358,0.000633,0.000727,0.002205,-0.002789,345.673324,91.421828,-639.619383,0.000000,-14.125042,-46.371189
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,86.721576,1,-0.002179,-0.002849,0.003587,0.000312,0.000629,0.000702,0.002849,-0.002179,386.950192,65.185595,-649.741567,0.000000,-14.983536,-47.751782
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,86.193262,1,-0.001762,-0.003550,0.003964,0.000273,0.000624,0.000681,0.003550,-0.001762,414.895389,40.947673,-660.823506,0.000000,-16.841693,-44.093177
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,85.664947,1,-0.001560,-0.004330,0.004602,0.000239,0.000620,0.000664,0.004330,-0.001560,430.592541,18.788191,-672.833745,0.000000,-18.498109,-39.882741
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-19.000000,85.136632,1,-0.001583,-0.005183,0.005419,0.000210,0.000615,0.000650,0.005183,-0.001583,435.134169,-1.212724,-685.740828,0.000000,-19.107256,-33.333090
