Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.417826,12,41,-0.041722,-0.001398,0.041746,-0.004287,-0.012556,0.013268,-0.001398,-0.041722,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.453507,12,42,-0.041976,-0.001435,0.042000,-0.004923,-0.012630,0.013556,-0.001435,-0.041976,0.000000,-2.464929,-0.050000,1.000000,0.000000,-2.464929,-2.464929,-2.464929,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.566969,12,42,-0.041945,-0.001430,0.041969,-0.004845,-0.012620,0.013518,-0.001430,-0.041945,0.000000,-1.330308,-0.050000,1.000000,0.000000,-1.330308,-1.330308,-1.330308,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.680431,12,42,-0.041914,-0.001425,0.041938,-0.004768,-0.012611,0.013482,-0.001425,-0.041914,0.000000,-0.195687,-0.050000,1.000000,0.000000,-0.195687,-0.195687,-0.195687,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.793893,12,42,-0.041883,-0.001421,0.041907,-0.004692,-0.012602,0.013447,-0.001421,-0.041883,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.907356,12,42,-0.041852,-0.001416,0.041876,-0.004616,-0.012593,0.013412,-0.001416,-0.041852,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.050000,12,43,-0.042078,-0.001463,0.042104,-0.005195,-0.012679,0.013702,-0.001463,-0.042078,0.000000,-6.500000,-0.050000,1.000000,0.000000,-6.500000,-6.500000,-6.500000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.150877,12,43,-0.042057,-0.001452,0.042082,-0.005131,-0.012662,0.013662,-0.001452,-0.042057,0.000000,-5.491232,-0.050000,1.000000,0.000000,-5.491232,-5.491232,-5.491232,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.251754,12,43,-0.042031,-0.001445,0.042056,-0.005062,-0.012650,0.013625,-0.001445,-0.042031,0.000000,-4.482464,-0.050000,1.000000,0.000000,-4.482464,-4.482464,-4.482464,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.352630,12,43,-0.042004,-0.001440,0.042028,-0.004993,-0.012640,0.013590,-0.001440,-0.042004,0.000000,-3.473697,-0.050000,1.000000,0.000000,-3.473697,-3.473697,-3.473697,0.000000,0.000000
