Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.290208,3,23,-0.036751,-0.001249,0.036772,0.001201,-0.012400,0.012458,0.001249,-0.036751,309.509503,187.821815,-333.023267,-66.604653
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.162591,3,23,-0.036707,-0.001245,0.036728,0.001200,-0.012398,0.012456,0.001245,-0.036707,333.484422,187.822116,-334.385898,-66.877180
Phase_19,Ramped Internal Load [Phase_19],-18.475000,101.034973,3,23,-0.036690,-0.001241,0.036710,0.001169,-0.012396,0.012451,0.001241,-0.036690,357.459380,187.822425,-335.748530,-67.149706
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.907356,3,23,-0.036701,-0.001236,0.036722,0.001108,-0.012394,0.012444,0.001236,-0.036701,381.423299,187.822741,-337.110200,-67.422040
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.907356,3,24,-0.036701,-0.001236,0.036722,0.001108,-0.012394,0.012444,0.001236,-0.036701,381.423299,187.799477,-337.110826,-67.422165
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.793893,3,24,-0.036738,-0.001232,0.036759,0.001025,-0.012393,0.012435,0.001232,-0.036738,402.729564,187.835837,-338.321458,-67.664292
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.680431,3,24,-0.036800,-0.001229,0.036821,0.000915,-0.012391,0.012425,0.001229,-0.036800,424.045443,187.818835,-339.532945,-67.906589
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.566969,3,24,-0.036890,-0.001225,0.036911,0.000776,-0.012390,0.012414,0.001225,-0.036890,445.359982,187.799954,-340.744432,-68.148886
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.453507,3,24,-0.037009,-0.001221,0.037029,0.000606,-0.012388,0.012403,0.001221,-0.037009,466.664007,187.830679,-341.955065,-68.391013
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.453507,3,25,-0.037009,-0.001221,0.037029,0.000606,-0.012388,0.012403,0.001221,-0.037009,466.664007,187.810722,-341.955621,-68.391124
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.352630,3,25,-0.037139,-0.001217,0.037159,0.000428,-0.012387,0.012395,0.001217,-0.037139,485.605384,187.811001,-343.031969,-68.606394
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.251754,3,25,-0.037294,-0.001213,0.037314,0.000224,-0.012386,0.012388,0.001213,-0.037294,504.555546,187.811284,-344.109077,-68.821815
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.150877,3,25,-0.037475,-0.001209,0.037494,-0.000008,-0.012384,0.012384,0.001209,-0.037475,523.505737,187.811572,-345.186184,-69.037237
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.050000,3,25,-0.037681,-0.001126,0.037697,-0.000269,-0.012383,0.012386,0.001126,-0.037681,542.447200,187.811864,-346.262532,-69.252506
Phase_19,Ramped Internal Load [Phase_19],-13.135000,100.050000,4,26,-0.027681,-0.037820,0.046867,-0.000216,-0.016498,0.016499,-0.037820,0.027681,676.568876,-257.617653,766.544946,153.308989
Phase_19,Ramped Internal Load [Phase_19],-13.135000,100.246997,4,26,-0.027724,-0.037808,0.046884,-0.000768,-0.016484,0.016502,-0.037808,0.027724,625.830704,-257.617653,768.661659,153.732332
Phase_19,Ramped Internal Load [Phase_19],-13.135000,100.443994,4,26,-0.027896,-0.037797,0.046977,-0.001219,-0.016469,0.016514,-0.037797,0.027896,575.069075,-257.617653,770.779866,154.155973
Phase_19,Ramped Internal Load [Phase_19],-13.135000,100.640991,4,26,-0.028187,-0.037785,0.047140,-0.001578,-0.016455,0.016531,-0.037785,0.028187,524.307445,-257.617653,772.898073,154.579615
